IntervalRelMin,IntervalRelMax,NumberOfSamples,Dense,BatchSize,Epochs,TrainLoss,ValLoss,CustomMetrics_Small_rectangles_finalValue,CustomMetrics_Mid_rectangles_finalValue,CustomMetrics_Huge_rectangles_finalValue
0.05,0.35,2500,[128],50,500,0.003672648221254349,0.0024015072267502546,0.012015127576887608,0.008159263990819454,0.002643885090947151
0.05,0.35,2500,"[64, 64, 64]",50,800,0.00014530068438034505,0.0003085464704781771,0.002322726882994175,0.002225392498075962,0.00025076893507502973
0.05,0.35,2500,"[64, 64, 64, 64]",50,800,0.00012899703870061785,0.00024106141063384712,0.002184234792366624,0.0018409009790048003,0.00018381206609774384
0.05,0.35,2500,"[64, 64, 64, 64, 64]",50,1100,0.00014151817595120514,0.00021121217287145558,0.002522312803193927,0.0028028355445712805,0.00016244186554104092
0.05,0.35,2500,"[64, 64, 64, 64, 64, 64]",50,1400,0.00011912242916878313,0.00022274037473835048,0.001836647861637175,0.001409319113008678,0.0001481969520682469
0.05,0.35,2500,"[64, 64]",50,500,5.8713700127555064e-05,0.00017923115228768438,0.001320934621617198,0.0011001026723533867,0.00010824509809026496
0.05,0.35,2500,"[64, 128, 64]",50,900,0.00016319622227456418,0.00022806707420386366,0.0026414752937853336,0.0018013536464422941,0.00019672096823342144
0.05,0.35,2500,"[256, 512, 1024, 512, 256]",50,1700,0.0001665149029577151,0.00025740821729414165,0.002467260463163257,0.001397775486111641,0.00014658033614978194
0.05,0.35,2500,"[256, 512, 1024, 512, 512, 256]",50,2100,0.0001833222049754113,0.0002489561738912016,0.00206428486853838,0.0011044817510992286,0.00022768326743971556
0.05,0.2,2500,[32],50,500,0.0004248750919941813,0.00045821955427527433,0.003152056131511927,0.0019039987819269304,0.0008282505441457032
0.05,0.2,2500,[64],50,500,0.00041398522444069386,0.0003742576809599996,0.0023771142587065697,0.00149707798846066,0.000852383382152766
0.05,0.2,2500,[128],50,500,0.0013959134230390187,0.0013665278675034642,0.00550661189481616,0.0033831819891929626,0.0014040840324014425
0.05,0.2,2500,"[64, 64, 64]",50,800,0.00016029165999498218,0.00017987893079407513,0.001375586842186749,0.000587035552598536,0.00041468211566098034
0.05,0.2,2500,"[64, 64, 64, 64]",50,800,0.00018528310465626416,0.0002554132661316544,0.0018831511260941625,0.0008935827063396572,0.0009195865131914617
0.05,0.2,2500,"[64, 64, 64, 64, 64]",50,1100,0.00023730508110020307,0.0003096457803621888,0.002459550742059946,0.001276919385418296,0.0008213369292207062
0.05,0.2,2500,"[64, 64, 64, 64, 64, 64]",50,1400,0.00019240649999119341,0.00015877175610512495,0.0016934542218223214,0.0006778586539439857,0.0003101371694356203
0.05,0.2,2500,"[64, 64]",50,500,0.00042139526340179145,0.00034412590321153397,0.0042727026157081145,0.001775770098902285,0.0010010577971115706
0.05,0.2,2500,"[64, 128, 64]",50,900,0.00014059127715881914,0.00023342401254922157,0.0006916399579495193,0.00043842094601131976,0.0002781999355647713
0.05,0.2,2500,"[256, 512, 1024, 512, 256]",50,1700,0.0002644949418026954,0.0004228657344356178,0.0015281348023563626,0.0009987863013520837,0.0006351056508719921
0.05,0.2,2500,"[256, 512, 1024, 512, 512, 256]",50,2100,0.0002790163562167436,0.00035409213160164654,0.0019476045854389668,0.0014733666321262715,0.0009008371271193027
0.3,0.9,10000,[32],50,500,3.55821248376742e-05,2.105585917888675e-05,0.010556268505752087,0.010197664611041546,0.0009960951283574104
0.3,0.9,10000,[64],50,500,2.4184548237826675e-05,5.95258316025138e-05,0.009582498110830784,0.009700759314000608,0.0009006707696244121
0.3,0.9,10000,[128],50,500,2.543899427109864e-05,2.8138556444901038e-05,0.010335094295442104,0.01039677020162344,0.0007811451214365661
0.3,0.9,10000,"[64, 64, 64]",50,800,1.861448799900245e-05,1.8117776562576186e-05,0.009256243705749512,0.008331790566444397,0.0012035745894536376
0.3,0.9,10000,"[64, 64, 64, 64]",50,800,2.287642382725608e-05,1.7849995856522582e-05,0.008809654973447323,0.007929904386401176,0.000922048871871084
0.3,0.9,10000,"[64, 64, 64, 64, 64]",50,1100,1.4482162441709079e-05,1.873620021797251e-05,0.010324000380933285,0.008385558612644672,0.0010858570458367467
0.3,0.9,10000,"[64, 64, 64, 64, 64, 64]",50,1400,1.2886412150692195e-05,1.6013522326829847e-05,0.009025931358337402,0.008516615256667137,0.0006600846536457539
0.3,0.9,10000,"[64, 64]",50,500,2.6885403713095002e-05,4.165628342889249e-05,0.011587057262659071,0.00980024877935648,0.0019156677881255746
0.3,0.9,10000,"[64, 128, 64]",50,900,9.91671004157979e-06,8.131638423947153e-06,0.009566400200128557,0.009292840026319029,0.0005348908598534763
0.3,0.9,10000,"[256, 512, 1024, 512, 256]",50,1700,0.00011250888201175259,6.794252840336412e-05,0.010914326645433904,0.010747930034995079,0.0015290392329916358
0.3,0.9,10000,"[256, 512, 1024, 512, 512, 256]",50,2100,0.00017721987387631088,0.00017988683248404408,0.013613397255539894,0.013685055077075958,0.002952362410724163
0.05,0.3,2500,[32],50,500,0.0011735559673979874,0.001428274787031114,0.00520394928753376,0.004620200488716364,0.0007495347526855768
0.05,0.3,2500,[64],50,500,0.0010533923050388694,0.001330863102339208,0.007451594807207584,0.004385338630527258,0.0011732158018276095
0.05,0.3,2500,[128],50,500,0.00040424958569929015,0.00032215498504228885,0.0028859633021056648,0.001598432776518166,0.000251869874773547
0.05,0.3,2500,"[64, 64, 64]",50,800,0.0001325588527834043,0.00016449106624349952,0.0029087064322084197,0.0015311536844819784,0.00011447582073742524
0.05,0.3,2500,"[64, 64, 64, 64]",50,800,0.000247453834163025,0.0002296551683684811,0.0017637996934354305,0.001335101085714996,0.0001526396517874673
0.05,0.3,2500,"[64, 64, 64, 64, 64]",50,1100,0.00015457204426638782,0.00023984446306712925,0.0028176307678222656,0.001732681761495769,0.00015918434655759484
0.05,0.3,2500,"[64, 64, 64, 64, 64, 64]",50,1400,8.147944026859477e-05,0.00012174734729342163,0.0008365719695575535,0.0006644515669904647,7.655828812858091e-05
0.05,0.3,2500,"[64, 64]",50,500,8.963979053078219e-05,0.00014207305503077805,0.002851224271580577,0.001203529187478125,0.00013497419422492382
0.05,0.3,2500,"[64, 128, 64]",50,900,0.00011333708243910225,0.00018915015971288082,0.002499378053471446,0.0009968276135623457,0.00022848465596325698
0.05,0.3,2500,"[256, 512, 1024, 512, 256]",50,1700,0.00020627107005566359,0.00017503180424682796,0.001729227718897164,0.0011866650311276314,0.00017147231847047806
0.05,0.3,2500,"[256, 512, 1024, 512, 512, 256]",50,2100,0.00034470579703338444,0.00041510994196869433,0.002738009672611952,0.0019462298369035125,0.00035434809979051335
0.05,0.15,2500,[32],50,500,0.0004820105095859617,0.00047525286208838224,0.002243794733658433,0.0014009072910994293,0.0012732251780107615
0.05,0.15,2500,[64],50,500,0.0002960051351692528,0.00026801848434843123,0.0013564409455284474,0.0007779052248224616,0.0005813015159219503
0.05,0.15,2500,[128],50,500,0.0005759178311564027,0.0005069341859780252,0.0035206675529479976,0.0014307836536318064,0.0014295324217528105
